Timeline,ID,Title,Author,Amazon Link
Canon,from-a-certain-point-of-view-the-empire-strikes-back,From a Certain Point of View: The Empire Strikes Back,Various Authors,https://amzn.to/4dvafHn
Canon,star-wars-return-of-the-jedi,Star Wars: Return of the Jedi,James Kahn,https://amzn.to/4uPGW9B
Canon,from-a-certain-point-of-view-return-of-the-jedi,From a Certain Point of View: Return of the Jedi,Various Authors,https://amzn.to/3PKQKCN
Canon,the-princess-and-the-scoundrel,The Princess and the Scoundrel,Beth Revis,https://amzn.to/4dcs0fR
Canon,alphabet-squadron,Alphabet Squadron,Alexander Freed,https://amzn.to/4dGp1wd
Canon,aftermath,Aftermath,Chuck Wendig,https://amzn.to/3RpK2T7
Canon,shadow-fall,Shadow Fall,Alexander Freed,https://amzn.to/4ucpXhE
Canon,aftermath-life-debt,Aftermath: Life Debt,Chuck Wendig,https://amzn.to/4nv44re
Canon,victory-s-price,Victory's Price,Alexander Freed,https://amzn.to/4u8Ui0z
Canon,aftermath-empire-s-end,Aftermath: Empire's End,Chuck Wendig,https://amzn.to/4nrMzIs
Canon,lost-stars,Lost Stars,Claudia Gray,https://amzn.to/4nxjMCo
Canon,last-shot,Last Shot,Daniel José Older,https://amzn.to/42FkwMa
Canon,poe-dameron-free-fall,Poe Dameron: Free Fall,Alex Segura,
Canon,shadow-of-the-sith,Shadow of the Sith,Adam Christopher,https://amzn.to/4nuxTbD
Canon,bloodline,Bloodline,Claudia Gray,https://amzn.to/4dKrgi1
Canon,force-collector,Force Collector,Kevin Shinick,https://amzn.to/4uQV0zD
Canon,phasma,Phasma,Delilah S. Dawson,https://amzn.to/4uHpF2i
Canon,star-wars-the-force-awakens,Star Wars: The Force Awakens,Alan Dean Foster,https://amzn.to/3Rdt2PY
Canon,canto-bight,Canto Bight,"Saladin Ahmed, Rae Carson, Mira Grant, John Jackson Miller",https://amzn.to/3R18nPf
Canon,star-wars-the-last-jedi,Star Wars: The Last Jedi,Jason Fry,https://amzn.to/3R9iIZo
Canon,resistance-reborn,Resistance Reborn,Rebecca Roanhorse,https://amzn.to/43fiOkJ
Canon,galaxys-edge-black-spire,Galaxy's Edge: Black Spire,Delilah S. Dawson,https://amzn.to/49RIkAj
Canon,galaxys-edge-a-crash-of-fate,Galaxy's Edge: A Crash of Fate,Zoraida Córdova,https://amzn.to/4wNUqEL
Canon,star-wars-the-rise-of-skywalker,Star Wars: The Rise of Skywalker,Rae Carson,https://amzn.to/4dJmT6O
Canon,the-last-order,The Last Order,Kwame Mbalia,https://amzn.to/4wx4gdE
